year	paper-Name	author
2014	The matching polytope has exponential extension complexity	Thomas Rothvoß, University of Washington
2013	Approximation Resistance from Pairwise Independent Subgroups	Siu On Chan, University of California, Berkeley
	Low Rank Approximation and Regression in Input Sparsity Time	Kenneth L. Clarkson & David P. Woodruff, IBM
2012	Linear vs. Semidefinite Extended Formulations: Exponential Separation and Strong Lower Bounds	Samuel Fiorini, Free University of Brussels;Serge Massar, Free University of Brussels ;Sebastian Pokutta, University of Erlangen-Nuremberg ;Hans Tiwary, Free University of Brussels ;Ronald de Wolf, Centrum Wiskunde & Informatica
	The Cell Probe Complexity of Dynamic Range Counting	Kasper Larsen, Aarhus University
2011	Electrical flows, laplacian systems, and faster approximation of maximum flow in undirected graphs	Paul Christiano, Massachusetts Institute of Technology;Jonathan A. Kelner, Massachusetts Institute of Technology ;Aleksander Mądry, Massachusetts Institute of Technology ;Daniel A. Spielman, Yale University ;Shang-Hua Teng, University of Southern California
	Subexponential lower bounds for randomized pivoting rules for the simplex algorithm	Oliver Friedmann, Ludwig Maximilian University of Munich;Thomas Dueholm Hansen, Aarhus University ;Uri Zwick, Tel Aviv University
2010	QIP = PSPACE	Rahul Jain, National University of Singapore;Zhengfeng Ji, Perimeter Institute for Theoretical Physics ;Sarvagya Upadhyay, University of Waterloo ;John Watrous, University of Waterloo
	An improved LP-based approximation for steiner tree	Jaroslaw Byrka, École Polytechnique Fédérale de Lausanne;Fabrizio Grandoni, Tor Vergata University of Rome ;Thomas Rothvoß, École Polytechnique Fédérale de Lausanne ;Laura Sanità, École Polytechnique Fédérale de Lausanne
2009	A constructive proof of the Lovász local lemma	Robin A. Moser, ETH Zurich
	Public-Key Cryptosystems from the Worst-Case Shortest Vector Problem	Chris Peikert, SRI International
2008	Optimal hierarchical decompositions for congestion minimization in networks	Harald Räcke, University of Warwick
	Optimal algorithms and inapproximability results for every CSP?	Prasad Raghavendra, University of Washington
2007	Faster integer multiplication	Martin Fürer, Pennsylvania State University
	Towards 3-query locally decodable codes of subexponential length	Sergey Yekhanin, Massachusetts Institute of Technology
2006	The PCP theorem by gap amplification	Irit Dinur, Hebrew University of Jerusalem
2005	Undirected ST-connectivity in log-space	Omer Reingold, Weizmann Institute of Science
2004	Expander flows, geometric embeddings and graph partitioning	Sanjeev Arora, Princeton University;Satish Rao, University of California, Berkeley ;Umesh Vazirani, University of California, Berkeley
	Multi-linear formulas for permanent and determinant are of super-polynomial size	Ran Raz, Weizmann Institute of Science
2003	Derandomizing polynomial identity tests means proving circuit lower bounds	Valentine Kabanets & Russell Impagliazzo, University of California, San Diego
	New lattice-based cryptographic constructions	Oded Regev, Tel Aviv University
UIST (User Interface)		
2021	Altering Perceived Softness of Real Rigid Objects by Restricting Fingerpad Deformation	Yujie Tao, University of Chicago;Shan-Yuan Teng, University of Chicago ;Pedro Lopes, University of Chicago
	SoundsRide: Affordance-Synchronized Music Mixing for In-Car Audio Augmented Reality	Mohamed Kari, University of Duisburg-Essen;Tobias Grosse-Puppendahl, Porsche AG ;Alexander Jagaciak, Porsche AG ;David Bethge, Ludwig Maximilian University of Munich ;Reinhard Schütte, University of Duisburg-Essen ;Christian Holz, ETH Zurich
	Ten Million Users and Ten Years Later: Python Tutor's Design Guidelines for Building Scalable and Sustainable Research Software in Academia	Philip Guo, University of California, San Diego
2020	HandMorph: A Passive Exoskeleton that Miniaturizes Grasp	Jun Nishida, University of Chicago;Soichiro Matsuda, University of Tsukuba ;Hiroshi Matsui, Ruhr-University Bochum ;Shan-Yuan Teng, University of Chicago ;Ziwei Liu, University of Chicago ;Kenji Suzuki, University of Tsukuba ;Pedro Lopes, University of Chicago
2019	TipText: Eyes-Free Text Entry on a Fingertip Keyboard	Zheer Xu, Dartmouth College;Pui Chung Wong, Dartmouth College ;Jun Gong, Dartmouth College ;Te-Yen Wu, Dartmouth College ;Aditya Nittala, Saarland University ;Xiaojun Bi, Stony Brook University ;Jürgen Steimle, Saarland University ;Hongbo Fu, City University of Hong Kong ;Kening Zhu, City University of Hong Kong ;Xing-Dong Yang, Dartmouth College
2018	Authoring and Verifying Human-Robot Interactions	David Porfirio, University of Wisconsin–Madison;Allison Sauppé, University of Wisconsin–La Crosse ;Aws Albarghouthi, University of Wisconsin–Madison ;Bilge Mutlu, University of Wisconsin–Madison
	Porta: Profiling Software Tutorials Using Operating-System-Wide Activity Tracing	Alok Mysore & Philip J. Guo, University of California, San Diego
	RESi: A Highly Flexible, Pressure-Sensitive, Imperceptible Textile Interface Based on Resistive Yarns	Patrick Parzer, University of Applied Sciences Upper Austria;Florian Perteneder, University of Applied Sciences Upper Austria ;Kathrin Probst, University of Applied Sciences Upper Austria ;Christian Rendl, University of Applied Sciences Upper Austria ;Joanne Leong, University of Applied Sciences Upper Austria ;Sarah Schuetz, University of Applied Sciences Upper Austria ;Anita Vogl, University of Applied Sciences Upper Austria ;Reinhard Schwoediauer, Johannes Kepler University Linz ;Martin Kaltenbrunner, Johannes Kepler University Linz ;Siegfried Bauer, Johannes Kepler University Linz ;Michael Haller, University of Applied Sciences Upper Austria
2017	Triggering Artwork Swaps for Live Animation	Nora S. Willett, Princeton University;Wilmot Li, Adobe ;Jovan Popovic, Adobe ;Adam Finkelstein, Princeton University
	Grabity: A Wearable Haptic Interface for Simulating Weight and Grasping in Virtual Reality	Inrak Choi, Stanford University;Heather Culbertson, Stanford University ;Mark R. Miller, Stanford University ;Alex Olwal, Google ;Sean Follmer, Stanford University
	AirCode: Unobtrusive Physical Tags for Digital Fabrication	Dingzeyu Li, Columbia University;Avinash S. Nair, Columbia University ;Shree K. Nayar, Columbia University ;Changxi Zheng, Columbia University
2016	Rovables: Miniature On-Body Robots as Mobile Wearables	Artem Dementyev, Massachusetts Institute of Technology;Hsin-Liu (Cindy) Kao, Massachusetts Institute of Technology ;Inrak Choi, Stanford University ;Deborah Ajilo, Massachusetts Institute of Technology ;Maggie Xu, Stanford University ;Joseph Paradiso, Massachusetts Institute of Technology ;Chris Schmandt, Massachusetts Institute of Technology ;Sean Follmer, Stanford University
	Zooids: Building Blocks for Swarm User Interfaces	Mathieu Le Goc, Inria;Lawrence H. Kim, Stanford University ;Ali Parsaei, Stanford University ;Jean-Daniel Fekete, Inria ;Pierre Dragicevic, Inria ;Sean Follmer, Stanford University
	proCover: Sensory Augmentation of Prosthetic Limbs Using Smart Textile Covers	Joanne Leong, University of Applied Sciences Upper Austria;Patrick Parzer, University of Applied Sciences Upper Austria ;Florian Perteneder, University of Applied Sciences Upper Austria ;Teo Babic, University of Applied Sciences Upper Austria ;Christian Rendl, University of Applied Sciences Upper Austria ;Anita Vogl, University of Applied Sciences Upper Austria ;Hubert Egger, University of Applied Sciences Upper Austria ;Alex Olwal, Google ;Michael Haller, University of Applied Sciences Upper Austria
	ViBand: High-Fidelity Bio-Acoustic Sensing Using Commodity Smartwatch Accelerometers	Gierad Laput, Carnegie Mellon University;Robert Xiao, Carnegie Mellon University ;Chris Harrison, Carnegie Mellon University
2015	Foldio: Digital Fabrication of Interactive and Shape-Changing Objects With Foldable Printed Electronics	Simon Olberding, Max Planck Institute for Informatics;Sergio Soto Ortega, Max Planck Institute for Informatics ;Klaus Hildebrandt, Max Planck Institute for Informatics ;Jurgen Steimle, Max Planck Institute for Informatics
	Orbits: Gaze Interaction for Smart Watches using Smooth Pursuit Eye Movements	Augusto Esteves, University of Lancaster;Eduardo Velloso, University of Lancaster ;Andreas Bulling, Max Planck Institute for Informatics ;Hans Gellersen, University of Lancaster
	Webstrates: Shareable Dynamic Media	Clemens Klokmose, Aarhus University;James Eagan, Télécom Paris ;Siemen Baader, Aarhus University ;Wendy Mackay, Inria ;Michel Beaudouin-Lafon, University of Paris-Sud
2014	Sensing Techniques for Tablet+Stylus Interaction	Ken Hinckley, Microsoft;Michel Pahud, Microsoft ;Hrvoje Benko, Microsoft ;Pourang Irani, Microsoft ;Marcel Gavriliu, Microsoft ;François Guimbretière, Microsoft ;Xiang Anthony Chen, Microsoft ;Fabrice Matulic, Microsoft ;William Buxton, Microsoft ;Andrew Wilson, Microsoft
	Expert Crowdsourcing with Flash Teams	Daniela Retelny, Stanford University;Sébastien Robaszkiewicz, Stanford University ;Alexandra To, Stanford University ;Walter Lasecki, University of Rochester ;Jay Patel, Stanford University ;Negar Rahmati, Stanford University ;Tulsee Doshi, Stanford University ;Melissa Valentine, Stanford University ;Michael Bernstein, Stanford University
	PrintScreen: Fabricating Highly Customizable Thin-film Touch-Displays	Simon Olberding, Max Planck Institute for Informatics;Michael Wessely, Max Planck Institute for Informatics ;Jürgen Steimle, Max Planck Institute for Informatics
2013	PneUI: Pneumatically Actuated Soft Composite Materials for Shape Changing Interfaces	Lining Yao, Massachusetts Institute of Technology;Ryuma Niiyama, Massachusetts Institute of Technology ;Jifei Ou, Massachusetts Institute of Technology ;Sean Follmer, Massachusetts Institute of Technology ;Clark Della Silva, Massachusetts Institute of Technology ;Hiroshi Ishii, Massachusetts Institute of Technology
	Touch & Activate: Adding Interactivity to Existing Objects using Active Acoustic Sensing	Makoto Ono, University of Tsukuba;Buntarou Shizuki, University of Tsukuba ;Jiro Tanaka, University of Tsukuba
	Fiberio: A Touchscreen that Senses Fingerprints	Christian Holz & Patrick Baudisch, Hasso Plattner Institute
2012	Jamming User Interfaces: Programmable Particle Stiffness and Sensing for Malleable and Shape-Changing Devices	Sean Follmer, Massachusetts Institute of Technology;Daniel Leithinger, Massachusetts Institute of Technology ;Alex Olwal, Massachusetts Institute of Technology ;Nadia Cheng, Massachusetts Institute of Technology ;Hiroshi Ishii, Massachusetts Institute of Technology
	Cliplets: juxtaposing still and dynamic imagery	Neel Joshi, Microsoft;Sisil Mehta, Georgia Institute of Technology ;Steven Drucker, Microsoft ;Eric Stollnitz, Microsoft ;Hugues Hoppe, Microsoft ;Matt Uyttendaele, Microsoft ;Michael Cohen, Microsoft
	CrowdScape: interactively visualizing user behavior and output	Jeffrey Rzeszotarski & Aniket Kitur, Carnegie Mellon University
2011	SideBySide: Ad-hoc Multi-user Interaction with Handheld Projectors	Karl D.D. Willis, Carnegie Mellon University;Ivan Poupyrev, Disney Research ;Scott E. Hudson, Carnegie Mellon University ;Moshe Mahler, Disney Research
2010	VizWiz: nearly real-time answers to visual questions	Jeffrey P. Bigham, University of Rochester;Chandrika Jayant, University of Washington ;Hanjie Ji, University of Rochester ;Greg Little, Massachusetts Institute of Technology ;Andrew Miller, University of Central Florida ;Robert C. Miller, Massachusetts Institute of Technology ;Robin Miller, University of Rochester ;Aubrey Tatarowicz, Massachusetts Institute of Technology ;Brandyn White, University of Maryland ;Samual White, University of Rochester ;Tom Yeh, University of Maryland
2009	Mouse 2.0: Multi-touch meets the Mouse	Nicolas Villar, Microsoft;Shahram Izadi, Microsoft ;Dan Rosenfeld, Microsoft ;Hrvoje Benko, Microsoft ;John Helmes, Microsoft ;Jonathan Westhues, Microsoft ;Steve Hodges, Microsoft ;Eyal Ofek, Microsoft ;Alex Butler, Microsoft ;Xiang Cao, Microsoft ;Billy Chen, Microsoft
2008	Bringing Physics to the Surface	Andrew D. Wilson, Microsoft;Shahram Izadi, Microsoft ;Otmar Hilliges, Microsoft ;Armando Garcia-Mendoza, Microsoft ;David Kirk, Microsoft
2007	ThinSight: Versatile Multi-touch Sensing for Thin Form-factor Displays	Steve Hodges, Microsoft;Shahram Izadi, Microsoft ;Alex Butler, Microsoft ;Alban Rrustemi, Microsoft ;Bill Buxton, Microsoft
2006	Reflective Physical Prototyping through Integrated Design, Test, and Analysis	Björn Hartmann, Stanford University;Scott Klemmer, Stanford University ;Michael Bernstein, Stanford University ;Leith Abdulla, Stanford University ;Brandon Burr, Stanford University ;Avi Robinson-Mosher, Stanford University ;Jennifer Gee, Stanford University
2005	Automation and Customization of Rendered Web Pages	Michael Bolin, Massachusetts Institute of Technology;Matthew Webber, Massachusetts Institute of Technology ;Philip Rha, Massachusetts Institute of Technology ;Tom Wilson, Massachusetts Institute of Technology ;Robert C. Miller, Massachusetts Institute of Technology
2004	Multi-Finger Gestural Interaction with 3D Volumetric Displays	Tovi Grossman, University of Toronto;Daniel Wigdor, University of Toronto ;Ravin Balakrishnan, University of Toronto
	CrossY: A Crossing-Based Drawing Application	Georg Apitz & François Guimbretière, University of Maryland
2003	Perceptually-Supported Image Editing of Text and Graphics	Eric Saund, PARC;David Fleet, PARC ;Daniel Larner, PARC ;James Mahoney, PARC
2002	Clothing Manipulation	Takeo Igarashi, University of Tokyo ;John F. Hughes, Brown University
2001	Phidgets: Easy Development of Physical Interfaces through Physical Widgets	Saul Greenberg & Chester Fitchett, University of Calgary
2000	Sensing Techniques for Mobile Interaction	Ken Hinckley, Microsoft;Jeff Pierce, Microsoft ;Mike Sinclair, Microsoft ;Eric Horvitz, Microsoft
1996	Indigo: A Local Propagation Algorithm for Inequality Constraints	Alan Borning, University of Washington;Richard Anderson, University of Washington ;Bjorn Freeman-Benson, Object Technology International
